file_path,timestamp,loop_number,agent_type,blob_key,total_tokens,prompt_tokens,completion_tokens,cost_usd,latency_ms,model,status_code
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,defb459090c5046524b74ba38d97abf44f42964cfedabfb2be402cd64d8edb46,4207,3742,465,0.00084,16677.06,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,1e166ec709bc8ac6dbfc83cfb1820440df27859fa8b10549e2928e6145a48df8,4332,3788,544,0.000895,18268.0,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,a14eac24342df054ef612f2f5503494a4d8523948fcdf6c37092472656a553dc,4238,3892,346,0.000791,15707.02,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,ethical_purist,a422c98885bcd22e5a4b4a1e89e4676998ea819190d59db5bde5abed847e58bb,4259,3904,355,0.000799,15400.59,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,d9543875113cff1de137cd6b4d6d592d895d44b012ffdac13d15b6cd46e1b35e,27381,26975,406,0.00429,6236.27,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,80198bdb81a9fcdd3de2ab4fbcadac949f86dc940792985da28654fd12100e09,27330,26985,345,0.004255,5452.88,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,05fccdb91ed48a00b8f069fa883798f34ee561a739c9ceb7d77084c87caecb6c,27282,26971,311,0.004232,5221.69,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201756.json,20250712_201756,0,radical_progressive,c833ee4b867b5fdf273674d2fa9ad771792e79f9d68f942ae824697dbc82f377,27372,26975,397,0.004284,6003.45,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,557adab952ead61e9362f2c5d9ce95d365969da089cdbf1739f9ddd78b69f0a0,10769,10304,465,0.001825,5750.77,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,5924ba34cb1644cc15661b7c8ecadf49c4a9747f7c2cc73272dab0a474cfdafc,10801,10350,451,0.001823,6655.37,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,7880539080f947388d1dfcc1ab47510ea9618ddbd570f580021fa512bec521bc,10836,10454,382,0.001797,6772.77,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,ethical_purist,617473bcb905648bf1de061b991871a60a4b4679430347090844d91d8c7f9a96,11474,11117,357,0.001882,4733.47,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,977d3128bd85650626b9f960e0e39d83add1d569e8e390fb913f57783788e425,35124,34680,444,0.005468,7432.05,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,4fc5fa65383966b819c69636e50d346c1f6ba29f506b511ccd82ff5ea87afbae,35008,34690,318,0.005394,16318.03,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,c4e78893766042760a476e0fcb1acb3eff834fb8832ee823b00959fab7577067,35017,34676,341,0.005406,17683.6,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201853.json,20250712_201853,0,radical_progressive,11addc85bb6268e7513810742625d4e4344e5bc87fa9f58535e68e302313357c,35046,34680,366,0.005422,16312.03,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,78229bba864ead32e490f95ff5ac8cdef5ce3b2e7c1a045c9a2466b9b3d40a23,11030,10528,502,0.00188,6166.8,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,fa890901b2ea5c4884eb6ff32b1b129eee90a86f6f2a6a4db6674597510be3bc,12085,11631,454,0.002017,5729.05,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,8efbc540c0a7ae7805dadfd8af50c81989514885d85929cb6891f7021aaec403,11003,10678,325,0.001797,4638.95,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,ethical_purist,547f15e5dd7f611ab9470db6d74cf15292e908d31b8b7cdb1f6fbd000628fd9c,11754,11341,413,0.001949,8023.59,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,3682134767a460dd50440caf793ecf20748e325cffdae9c6a78000635f3f5008,38384,37999,385,0.005931,6919.76,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,f153a6e5ede2e8d21440dbc073f6434bb9eb7ef50ef18257161be11f03962f3a,38370,38009,361,0.005918,16836.24,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,bbb9a7679270cc8d40dcff80c34a0d7f22e6b843932bfbfd5e8a7a1376373e0d,38321,37995,326,0.005895,17581.63,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_201954.json,20250712_201954,0,radical_progressive,3bb7c66be33c5dd71b0d715d6c524318005e2dabdbdfa8c230b848fe9469ee52,38407,37999,408,0.005945,17248.25,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,0c5f7de8754747068f0a84d80e12ca844b1daa3678b1fcb73903d9d2df79dbeb,10135,9634,501,0.001746,5491.62,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,de34dc2331160703a0f2b2413807319e99dfbca02d4733a5889be0b353eade86,11220,10775,445,0.001883,5578.35,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,4f5100495e2103913a8232fa8bc8e4ef702579123265d861ed487eba2b4efc4d,10115,9784,331,0.001666,4306.72,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,ethical_purist,f71611466d42a40cc076050da0eaa4824a931b7056ae48d00c60663acee8473d,10879,10447,432,0.001826,4843.77,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,9e6089b588d16277f0eabd33b2a76925ae92b5f60058eb45d764b318d0eaa1f2,38127,37731,396,0.005897,6537.5,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,7b273873cf3baa843c87f6adbd981d8c1014ec11cdae6e47379277f87e3d7e91,38130,37741,389,0.005895,6731.01,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,0e1d7852e36178a09822471b3b2f2d4b903e094def07324a7908b999f9f3e61b,38111,37727,384,0.005889,7596.27,gpt-4o-mini,200
logs/expSOC01/orka_trace_20250712_202043.json,20250712_202043,0,radical_progressive,5f29859bbe0261d8fc42d9061883e276e366253f9514cae6b98ef7ae74d430de,38130,37731,399,0.005899,6457.04,gpt-4o-mini,200
